Transaction_date,Payment_Type,Name,City,State,Country,Account_Created,Last_Login,ID,Count,Brand,Model
2019-01-02 06:17:00,Mastercard,carolina,Basildon,England,United Kingdom,2019-01-02 06:00:00,2019-01-02 06:08:00,1,1,Apple,Apple iPhone 7
2019-01-02 04:53:00,Visa,Betina,Parkville,MO,United States,2019-01-02 04:42:00,2019-01-02 07:49:00,2,1,Samsung,Samsung Galaxy S8 Plus
2019-01-02 13:08:00,Mastercard,Federica e Andrea,Astoria,OR,United States,2019-01-01 16:21:00,2019-01-03 12:32:00,3,1,Motorola,Motorola Razr
2019-01-03 14:44:00,Visa,Gouya,Echuca,Victoria,Australia,2015-09-25 21:13:00,2019-01-03 14:22:00,4,1,Samsung,Samsung Galaxy S9e
2019-01-04 12:56:00,Visa,Gerd W,Cahaba Heights,AL,United States,2018-11-15 15:47:00,2019-01-04 12:45:00,5,1,Apple,Apple iPhone 8 Plus
2019-01-04 13:19:00,Visa,LAURENCE,Mickleton,NJ,United States,2018-09-24 15:19:00,2019-01-04 13:04:00,6,1,Samsung,Samsung Galaxy S10e
2019-01-04 20:11:00,Mastercard,Fleur,Peoria,IL,United States,2019-01-03 09:38:00,2019-01-04 19:45:00,7,1,Apple,Apple iPhone 8
2019-01-02 20:09:00,Mastercard,adam,Martin,TN,United States,2019-01-02 17:43:00,2019-01-04 20:01:00,8,1,Alcatel,Alcatel 3X
2019-01-04 13:17:00,Mastercard,Renee Elisabeth,Tel Aviv,Tel Aviv,Israel,2019-01-04 13:03:00,2019-01-04 22:10:00,9,1,Motorola,Motorola Moto E6
2019-01-04 14:11:00,Visa,Aidan,Chatou,Ile-de-France,France,2018-06-03 04:22:00,2019-01-05 01:17:00,10,1,Motorola,Motorola E6 Play
2019-01-05 02:42:00,Diners,Stacy,New York,NY,United States,2019-01-05 02:23:00,2019-01-05 04:59:00,11,2,Apple,Apple iPhone XS
2019-01-09 07:49:00,Visa,Stacy,Rochester Hills,MI,United States,2018-07-28 07:18:00,2019-02-09 17:41:00,11,2,Samsung,Samsung Galaxy Note 10 Plus
2019-01-05 05:39:00,Amex,Heidi,Eindhoven,Noord-Brabant,Netherlands,2019-01-05 04:55:00,2019-01-05 08:15:00,12,4,Apple,Apple iPhone XS
2019-01-27 02:26:00,Diners,Heidi,MT Pleasant,TX,United States,2019-01-27 02:16:00,2019-01-27 06:41:00,12,4,Sony,Sony Xperia XZ2
2019-01-15 11:56:00,Visa,Heidi,Calgary,Alberta,Canada,2019-01-14 09:16:00,2019-01-15 11:39:00,12,4,LG,LG K30
2019-01-26 14:37:00,Visa,Heidi,St Augustine,FL,United States,2017-12-19 12:00:00,2019-02-04 16:55:00,12,4,Samsung,Samsung Galaxy Note 10
2019-01-02 09:16:00,Mastercard,Sean,Shavano Park,TX,United States,2019-01-02 08:32:00,2019-01-05 09:05:00,13,3,Samsung,Samsung Galaxy S10 Plus 1TB
2019-01-21 14:06:00,Visa,Sean,Wantagh,NY,United States,2019-01-21 12:00:00,2019-01-21 14:06:00,13,3,ZTE,ZTE Blade A7 Prime
2019-01-31 07:13:00,Amex,Sean,London,England,United Kingdom,2018-01-03 14:59:00,2019-02-22 07:12:00,13,3,Huawei,Huawei Nova 6 5G
2019-01-05 10:08:00,Visa,Georgia,Eagle,ID,United States,2018-11-11 15:53:00,2019-01-05 10:05:00,14,1,Apple,Apple iPhone 11
2019-01-02 14:18:00,Visa,Richard,Riverside,NJ,United States,2018-12-09 12:07:00,2019-01-05 11:01:00,15,2,Apple,Apple iPhone 8
2019-01-18 09:42:00,Visa,Richard,Jamestown,RI,United States,2019-01-18 09:22:00,2019-02-09 08:30:00,15,2,Samsung,Samsung Galaxy S9 Plus
2019-01-04 01:05:00,Diners,Leanne,Julianstown,Meath,Ireland,2019-01-04 00:00:00,2019-01-05 13:36:00,16,1,HTC,HTC U 19e
2019-01-05 11:37:00,Visa,Janet,Ottawa,Ontario,Canada,2019-01-05 09:35:00,2019-01-05 19:24:00,17,2,LG,LG G8s ThinQ
